tensor(-1008.2745),tensor(-1007.9359),tensor(-1007.0593),tensor(-1006.2398),tensor(-1005.6185),tensor(-1006.3031),tensor(-1005.0574),tensor(-1004.9971),tensor(-1004.4363),tensor(-1004.8128),tensor(-1004.5578),tensor(-1004.3194),tensor(-1004.7944),tensor(-1004.8585),tensor(-1005.6003),tensor(-1005.5653),tensor(-1006.2878),tensor(-1006.6995),tensor(-1007.3702),tensor(-1008.1080),tensor(-1009.0769)
tensor(-1005.1946),tensor(-1004.8447),tensor(-1004.8846),tensor(-1003.9897),tensor(-1004.5670),tensor(-1004.9202),tensor(-1004.3861),tensor(-1003.9299),tensor(-1004.2656),tensor(-1004.2827),tensor(-1004.3975),tensor(-1004.4285),tensor(-1004.7737),tensor(-1005.3442),tensor(-1004.9562),tensor(-1005.4208),tensor(-1004.9552),tensor(-1005.1142),tensor(-1005.2561),tensor(-1005.5889),tensor(-1005.8679)
tensor(-1005.0818),tensor(-1005.4515),tensor(-1005.4122),tensor(-1005.1819),tensor(-1004.9425),tensor(-1004.7823),tensor(-1004.5679),tensor(-1004.9654),tensor(-1004.4648),tensor(-1004.2046),tensor(-1004.1683),tensor(-1004.5927),tensor(-1004.2729),tensor(-1004.2339),tensor(-1005.3177),tensor(-1004.8656),tensor(-1005.2426),tensor(-1005.1865),tensor(-1004.7823),tensor(-1005.2263),tensor(-1005.5417)
