tensor(-422.2711),tensor(-428.0038),tensor(-425.6314),tensor(-435.5244),tensor(-445.0836),tensor(-440.5290),tensor(-441.2655),tensor(-436.6602),tensor(-431.7382),tensor(-439.4067),tensor(-429.6939),tensor(-433.8294),tensor(-439.1196),tensor(-436.8816),tensor(-429.0146),tensor(-416.1165),tensor(-443.1341),tensor(-422.2285),tensor(-440.8811),tensor(-426.9450),tensor(-442.2811)
tensor(-462.9962),tensor(-455.8261),tensor(-452.4101),tensor(-448.8215),tensor(-447.3018),tensor(-458.0985),tensor(-458.7116),tensor(-443.4861),tensor(-445.6069),tensor(-411.0793),tensor(-429.1725),tensor(-417.7266),tensor(-418.2743),tensor(-434.4456),tensor(-437.1685),tensor(-432.7947),tensor(-416.1852),tensor(-414.8829),tensor(-409.5216),tensor(-412.7765),tensor(-409.7091)
tensor(-457.3075),tensor(-472.0188),tensor(-437.1072),tensor(-452.4642),tensor(-457.5282),tensor(-446.6730),tensor(-457.9350),tensor(-462.5617),tensor(-425.5694),tensor(-439.3286),tensor(-447.8552),tensor(-438.1092),tensor(-423.6075),tensor(-419.1189),tensor(-421.4864),tensor(-425.9505),tensor(-429.8828),tensor(-416.7580),tensor(-427.7803),tensor(-426.9624),tensor(-414.9421)
